1540,Harry Potter,,,
728,Ron Weasley,,,
682,Hermione Granger,,,
324,Albus Dumbledore,,,
131,Severus Snape,,,
195,Rubeus Hagrid,,,
134,Voldemort,,,
56,Ginny Weasley,,,
111,Fred Weasley,,,
96,Draco Malfoy,,,
108,George Weasley,,,
124,Minerva McGonagall,,,
68,Molly Weasley,,,
77,Sirius Black,,,
75,Arthur Weasley,,,
88,Neville Longbottom,,,
81,Remus Lupin,,,
46,Lucius Malfoy,,,
54,Barty Crouch Jr.,,,
56,Luna Lovegood,,,
28,Alastor Moody,,,
65,Dolores Umbridge,,,
43,Dobby,,,
45,Bellatrix Lestrange,,,
47,Gilderoy Lockhart,,,
64,Vernon Dursley,,,
28,Dudley Dursely,,,
27,Petunia Dursley,,,
105,Horace Slughorn,,,
45,Seamus Finnigan,,,
26,Cedric Diggory,,,
68,Cornelius Fudge,,,
28,Argus Filch,,,
33,Griphook,,,
6,James Potter,,,
5,Lily Potter,,,
9,Peter Pettigrew,,,
4,Percy Weasley,,,
24,Dudley Dursley,,,
4,Viktor Krum,,,
3,Nearly Headless Nick,,,
6,The Fat Lady,,,
11,Cho Chang,,,
8,Lavender Brown,,,
18,Moaning Myrtle,,,
10,Colin Creevey,,,
16,Sybill Trelawney,,,
6,Narcissa Malfoy,,,
14,Marge Dursley,,,
11,Nymphadora Tonks,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
